BASKET_NUM                      ,HSHD_NUM        ,PURCHASE_,PRODUCT_NUM                     ,     SPEND,     UNITS,STORE_R,  WEEK_NUM,YEAR
00000002                        ,0577            ,17-AUG-18,00083652                        ,       .59,         1,CENTRAL,        32,2018
00000009                        ,1916            ,17-AUG-18,06157725                        ,      3.49,         1,WEST   ,        32,2018
00000016                        ,0514            ,17-AUG-18,00654479                        ,      2.24,         1,CENTRAL,        32,2018
00000016                        ,0514            ,17-AUG-18,00008118                        ,      5.39,         1,CENTRAL,        32,2018
00000025                        ,0361            ,17-AUG-18,00094343                        ,         1,         1,SOUTH  ,        32,2018
00000025                        ,0361            ,17-AUG-18,05265075                        ,      1.49,         1,SOUTH  ,        32,2018
00000029                        ,1034            ,17-AUG-18,00766883                        ,       .99,         1,EAST   ,        32,2018
00000037                        ,2004            ,17-AUG-18,02200811                        ,      5.99,         1,EAST   ,        32,2018
00000049                        ,0242            ,17-AUG-18,05556999                        ,      2.99,         1,EAST   ,        32,2018
00000050                        ,1195            ,17-AUG-18,03774346                        ,      6.89,         2,EAST   ,        32,2018
00000052                        ,0117            ,17-AUG-18,04960255                        ,      6.02,         1,EAST   ,        32,2018
00000054                        ,4214            ,17-AUG-18,06428545                        ,       1.5,         1,CENTRAL,        32,2018
00000058                        ,4725            ,17-AUG-18,00091412                        ,      4.74,         1,CENTRAL,        32,2018
00000066                        ,1265            ,17-AUG-18,06683683                        ,       .98,         2,EAST   ,        32,2018
00000075                        ,4414            ,17-AUG-18,05803768                        ,       1.5,         1,CENTRAL,        32,2018
00000077                        ,3758            ,17-AUG-18,04081449                        ,      3.41,         1,CENTRAL,        32,2018
00000084                        ,1015            ,17-AUG-18,02476430                        ,      1.49,         1,EAST   ,        32,2018
00000087                        ,4085            ,17-AUG-18,00951285                        ,      6.99,         1,CENTRAL,        32,2018
00000106                        ,3267            ,17-AUG-18,00099722                        ,      2.69,         1,SOUTH  ,        32,2018
00000138                        ,1861            ,18-AUG-18,05509925                        ,      1.99,         1,SOUTH  ,        32,2018
00000143                        ,2629            ,18-AUG-18,05642318                        ,      3.99,         1,WEST   ,        32,2018
00000144                        ,3785            ,18-AUG-18,04135714                        ,      6.99,         1,EAST   ,        32,2018
00000155                        ,4218            ,17-AUG-18,00957035                        ,      3.99,         1,EAST   ,        32,2018
00000176                        ,1895            ,18-AUG-18,05399605                        ,      1.67,         1,EAST   ,        32,2018
00000187                        ,4264            ,18-AUG-18,00098905                        ,      1.99,         1,EAST   ,        32,2018
00000188                        ,3895            ,18-AUG-18,05110749                        ,       .99,         2,SOUTH  ,        32,2018
00000195                        ,2780            ,18-AUG-18,00096136                        ,      2.58,         2,WEST   ,        32,2018
00000196                        ,4414            ,18-AUG-18,06405429                        ,     14.99,         1,CENTRAL,        32,2018
00000200                        ,1205            ,18-AUG-18,00401069                        ,         2,         2,EAST   ,        32,2018
00000201                        ,0762            ,18-AUG-18,00099323                        ,      2.99,         1,CENTRAL,        32,2018
00000202                        ,2710            ,18-AUG-18,06594456                        ,        10,         1,WEST   ,        32,2018
00000210                        ,2175            ,18-AUG-18,00635865                        ,      1.99,         1,WEST   ,        32,2018
00000221                        ,1433            ,18-AUG-18,05781775                        ,      5.98,         2,WEST   ,        32,2018
00000230                        ,3496            ,18-AUG-18,06417551                        ,         1,         1,SOUTH  ,        32,2018
00000243                        ,2291            ,18-AUG-18,01084632                        ,      2.99,         1,SOUTH  ,        32,2018
00000243                        ,2291            ,18-AUG-18,04153044                        ,      4.99,         1,SOUTH  ,        32,2018
00000248                        ,3246            ,18-AUG-18,00101331                        ,      3.49,         1,SOUTH  ,        32,2018
00000249                        ,2375            ,18-AUG-18,01150551                        ,     17.99,         1,WEST   ,        32,2018
00000254                        ,1120            ,18-AUG-18,05290847                        ,      4.26,         1,EAST   ,        32,2018
00000261                        ,1795            ,19-AUG-18,00009276                        ,       .99,         2,WEST   ,        33,2018
00000263                        ,0789            ,19-AUG-18,01350887                        ,      7.59,         1,CENTRAL,        33,2018
00000271                        ,3582            ,19-AUG-18,06051276                        ,     13.98,         2,SOUTH  ,        33,2018
00000272                        ,4974            ,19-AUG-18,00726559                        ,      3.29,         1,CENTRAL,        33,2018
00000275                        ,4757            ,19-AUG-18,00725423                        ,       .89,         1,CENTRAL,        33,2018
00000276                        ,0060            ,19-AUG-18,00207112                        ,      3.38,         2,EAST   ,        33,2018
00000284                        ,2531            ,19-AUG-18,03946896                        ,      1.05,         1,WEST   ,        33,2018
00000286                        ,0779            ,19-AUG-18,00084775                        ,      2.59,         1,CENTRAL,        33,2018
00000287                        ,0779            ,19-AUG-18,00085905                        ,       .77,         1,CENTRAL,        33,2018
00000290                        ,4414            ,19-AUG-18,00639135                        ,      2.99,         1,CENTRAL,        33,2018
00000293                        ,3030            ,19-AUG-18,00008490                        ,       .99,         1,SOUTH  ,        33,2018
00000293                        ,3030            ,19-AUG-18,04751916                        ,         2,         2,SOUTH  ,        33,2018
00000331                        ,4011            ,19-AUG-18,00008436                        ,      1.29,         1,SOUTH  ,        33,2018
00000332                        ,4171            ,19-AUG-18,02500461                        ,      1.79,         1,EAST   ,        33,2018
00000337                        ,1990            ,19-AUG-18,04329958                        ,       .88,         1,CENTRAL,        33,2018
00000338                        ,2200            ,19-AUG-18,00008512                        ,      1.19,         1,WEST   ,        33,2018
00000338                        ,2200            ,19-AUG-18,05113894                        ,      1.69,         1,WEST   ,        33,2018
00000344                        ,0984            ,19-AUG-18,06583413                        ,      3.99,         1,EAST   ,        33,2018
00000345                        ,1187            ,19-AUG-18,06477995                        ,       2.5,         1,EAST   ,        33,2018
00000350                        ,3784            ,19-AUG-18,00086268                        ,       2.5,         1,CENTRAL,        33,2018
00000350                        ,3784            ,19-AUG-18,00638788                        ,      4.99,         1,CENTRAL,        33,2018
00000351                        ,4836            ,19-AUG-18,05728692                        ,      3.99,         1,SOUTH  ,        33,2018
00000352                        ,0575            ,19-AUG-18,00315725                        ,      3.18,         2,CENTRAL,        33,2018
00000356                        ,1632            ,19-AUG-18,00276771                        ,      3.29,         1,WEST   ,        33,2018
00000356                        ,1632            ,19-AUG-18,04278004                        ,      4.69,         1,WEST   ,        33,2018
00000363                        ,0525            ,19-AUG-18,02247878                        ,         0,         1,CENTRAL,        33,2018
00000363                        ,0525            ,19-AUG-18,05940110                        ,      5.99,         1,CENTRAL,        33,2018
00000370                        ,3022            ,19-AUG-18,00321307                        ,      3.58,         2,SOUTH  ,        33,2018
00000382                        ,1404            ,19-AUG-18,00087652                        ,      1.99,         1,SOUTH  ,        33,2018
00000383                        ,0651            ,19-AUG-18,00094590                        ,       .99,         1,CENTRAL,        33,2018
00000393                        ,0308            ,20-AUG-18,06358939                        ,      2.29,         1,EAST   ,        33,2018
00000395                        ,0183            ,19-AUG-18,06089957                        ,        20,         4,EAST   ,        33,2018
00000398                        ,4249            ,20-AUG-18,03670308                        ,       2.5,         1,EAST   ,        33,2018
00000401                        ,1102            ,20-AUG-18,01023718                        ,      1.22,         1,EAST   ,        33,2018
